,dataset,math,attack,model,modelDataset,balancing,time
0,bing,False,,,,,68.31585717201233
1,ddg,False,,,,,61.947630882263184
2,google,False,,,,,67.22491788864136
3,google,True,FGSM,alexnet,google,20/80,15.499974966049194
4,google,True,CW,alexnet,google,20/80,109.32516193389893
5,google,True,FAB,alexnet,google,20/80,351.918340921402
6,google,True,DIFGSM,alexnet,google,20/80,22.785876750946045
7,google,True,DeepFool,alexnet,google,20/80,38.95650935173035
8,google,True,FGSM,alexnet,google,30/70,4.370143890380859
9,google,True,CW,alexnet,google,30/70,104.9727201461792
10,google,True,FAB,alexnet,google,30/70,359.1882801055908
11,google,True,DIFGSM,alexnet,google,30/70,23.49352526664734
12,google,True,DeepFool,alexnet,google,30/70,34.55078840255737
13,google,True,FGSM,alexnet,google,40/60,4.023498773574829
14,google,True,CW,alexnet,google,40/60,106.22729158401489
15,google,True,FAB,alexnet,google,40/60,354.2511420249939
16,google,True,DIFGSM,alexnet,google,40/60,23.347535133361816
17,google,True,DeepFool,alexnet,google,40/60,34.93029975891113
18,google,True,FGSM,alexnet,google,50/50,3.8607349395751953
19,google,True,CW,alexnet,google,50/50,102.8717737197876
20,google,True,FAB,alexnet,google,50/50,343.7744526863098
21,google,True,DIFGSM,alexnet,google,50/50,28.438907623291016
22,google,True,DeepFool,alexnet,google,50/50,52.44976234436035
23,google,True,FGSM,resnet,google,20/80,7.665537595748901
24,google,True,CW,resnet,google,20/80,748.0323328971863
25,google,True,FAB,resnet,google,20/80,825.0800521373749
26,google,True,DIFGSM,resnet,google,20/80,69.47301578521729
27,google,True,DeepFool,resnet,google,20/80,97.45500946044922
28,google,True,FGSM,resnet,google,30/70,6.190040349960327
29,google,True,CW,resnet,google,30/70,352.3079605102539
30,google,True,FAB,resnet,google,30/70,842.0179600715637
31,google,True,DIFGSM,resnet,google,30/70,69.70655965805054
32,google,True,DeepFool,resnet,google,30/70,109.44031190872192
33,google,True,FGSM,resnet,google,40/60,6.165422677993774
34,google,True,CW,resnet,google,40/60,351.8676302433014
35,google,True,FAB,resnet,google,40/60,830.1168348789215
36,google,True,DIFGSM,resnet,google,40/60,69.04478001594543
37,google,True,DeepFool,resnet,google,40/60,119.1763288974762
38,google,True,FGSM,resnet,google,50/50,5.774794101715088
39,google,True,CW,resnet,google,50/50,317.0368826389313
40,google,True,FAB,resnet,google,50/50,690.6511149406433
41,google,True,DIFGSM,resnet,google,50/50,60.148110151290894
42,google,True,DeepFool,resnet,google,50/50,77.61633229255676
43,google,True,FGSM,vgg,google,20/80,13.597413301467896
44,google,True,CW,vgg,google,20/80,1285.0394532680511
45,google,True,FAB,vgg,google,20/80,2572.0743520259857
46,google,True,DIFGSM,vgg,google,20/80,245.40149521827698
47,google,True,DeepFool,vgg,google,20/80,199.65988159179688
48,google,True,FGSM,vgg,google,30/70,13.46188759803772
49,google,True,CW,vgg,google,30/70,1062.4869351387024
50,google,True,FAB,vgg,google,30/70,2642.527467250824
51,google,True,DIFGSM,vgg,google,30/70,258.7111415863037
52,google,True,DeepFool,vgg,google,30/70,207.1909637451172
53,google,True,FGSM,vgg,google,40/60,13.696380138397217
54,google,True,CW,vgg,google,40/60,1251.6322612762451
55,google,True,FAB,vgg,google,40/60,2547.2807722091675
56,google,True,DIFGSM,vgg,google,40/60,260.2697503566742
57,google,True,DeepFool,vgg,google,40/60,201.45622301101685
58,google,True,FGSM,vgg,google,50/50,13.932565212249756
59,google,True,CW,vgg,google,50/50,1065.9778530597687
60,google,True,FAB,vgg,google,50/50,2434.7714488506317
61,google,True,DIFGSM,vgg,google,50/50,255.58037972450256
62,google,True,DeepFool,vgg,google,50/50,196.54439616203308